"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"	"Rank1"
"140981"	2.21363680053392	-1.65250386332959	0.565786437284129	-2.92072017714297	0.00349223335130445	0.0246278369383296	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Vibrionales"	"Pseudoalteromonadaceae"	"Pseudoalteromonas"	NA	NA
"19398"	1.89612919882233	-2.27086239561101	0.645333091046266	-3.51889966145902	0.000433340567319344	0.00589573238943422	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Vibrionales"	"Pseudoalteromonadaceae"	"Pseudoalteromonas"	NA	NA
"713994"	18.860372851489	1.90960629294991	0.730077473383282	2.61562144096917	0.00890652425845974	0.0499210997928022	"Bacteria"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Cryomorphaceae"	"Fluviicola"	NA	NA
"317388"	35.2756125644947	2.67620379516858	0.496962687193098	5.38512017931182	7.23962596118337e-08	9.78556109086619e-06	"Bacteria"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	NA	NA	NA
"585648"	4.39120238821087	-1.5388885557607	0.543467248180556	-2.83161232054492	0.00463139640285919	0.0302908264735387	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	NA	NA	NA
"162765"	11.8429585372166	1.50615703520482	0.577459250596206	2.60824817274945	0.00910069472255127	0.0499210997928022	"Bacteria"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Cryomorphaceae"	"Crocinitomix"	NA	NA
"591923"	14.4142659402335	-1.65695772031003	0.512532278018032	-3.23288462283294	0.00122547045603977	0.0124232067481031	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Vibrionales"	"Pseudoalteromonadaceae"	"Pseudoalteromonas"	NA	NA
"707147"	2.26879309180616	-1.72156593898543	0.551648221954418	-3.12076767488916	0.0018038028028765	0.0157299362702456	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Vibrionales"	"Pseudoalteromonadaceae"	"Pseudoalteromonas"	NA	NA
"95362"	37.4051033693118	1.7416318522615	0.466424940749726	3.73400240875203	0.000188460689694922	0.00355445626378097	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Alteromonadales"	"Colwelliaceae"	NA	NA	NA
"565301"	7.39383738389819	-2.11619592249236	0.653206928875898	-3.23970219687368	0.00119654597151298	0.0122835288974307	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Alteromonadales"	"Alteromonadaceae"	"Marinobacter"	NA	NA
