"","SampleID","Day","individual","Phenotype","Pheno_num","Final_phenotype","Trajectory","Tide","Description"
"12","08-5-08",3,8,"Healthy",0,"Sick","HS","intertidal","8-5/8"
"14","09-5-08",3,9,"Healthy",0,"Sick","HS","intertidal","9-5/8"
"17","10-5-08",3,10,"Healthy",0,"Healthy","HH","intertidal","10-5/8"
"24","15-5-08",3,15,"Healthy",0,"Sick","HS","intertidal","15-5/8"
"30","19-5-08",3,19,"Healthy",0,"Sick","HS","intertidal","19-5/8"
"34","20-5-08",3,20,"Healthy",0,"Sick","HS","intertidal","20-5/8"
"41","24-5-08",3,24,"Healthy",0,"Healthy","HH","intertidal","24-5/8"
"48","27-5-08",3,27,"Healthy",0,"Healthy","HH","intertidal","27-5/8"
"56","31-6-12",3,31,"Healthy",0,"Healthy","HH","subtidal","31-6/12"
"62","32-6-12",3,32,"Healthy",0,"Healthy","HH","subtidal","32-6/12"
"68","33-6-12",3,33,"Healthy",0,"Healthy","HH","subtidal","33-6/12"
"74","34-6-12",3,34,"Healthy",0,"Healthy","HH","subtidal","34-6/12"
"80","35-6-12",3,35,"Healthy",0,"Healthy","HH","subtidal","35-6/12"
"87","37-6-12",3,37,"Healthy",0,"Sick","HS","subtidal","37-6/12"
"90","38-6-12",3,38,"Healthy",0,"Sick","HS","subtidal","38-6/12"
"94","02-5-08",3,2,"Sick",2,"Sick","SS","intertidal","2-5/8"
"98","03-5-08",3,3,"Sick",2,"Sick","HS","intertidal","3-5/8"
"101","04-5-08",3,4,"Sick",2,"Sick","SS","intertidal","4-5/8"
"106","05-5-08",3,5,"Sick",2,"Sick","SS","intertidal","5-5/8"
"109","06-5-08",3,6,"Sick",2,"Sick","SS","intertidal","6-5/8"
"112","07-5-08",3,7,"Sick",1,"Sick","HS","intertidal","7-5/8"
"121","11-5-08",3,11,"Sick",2,"Sick","SS","intertidal","11-5/8"
"125","12-5-08",3,12,"Sick",4,"Sick","SS","intertidal","12-5/8"
"127","13-5-08",3,13,"Sick",2,"Sick","SS","intertidal","13-5/8"
"130","14-5-08",3,14,"Sick",2,"Sick","HS","intertidal","14-5/8"
"134","16-5-08",3,16,"Sick",2,"Sick","HS","intertidal","16-5/8"
"138","17-5-08",3,17,"Sick",1,"Sick","SS","intertidal","17-5/8"
"142","18-5-08",3,18,"Sick",2,"Sick","HS","intertidal","18-5/8"
"146","21-5-08",3,21,"Sick",1,"Sick","HS","intertidal","21-5/8"
"150","22-5-08",3,22,"Sick",1,"Sick","HS","intertidal","22-5/8"
"154","23-5-08",3,23,"Sick",2,"Sick","SS","intertidal","23-5/8"
"159","25-5-08",3,25,"Sick",2,"Sick","SS","intertidal","25-5/8"
"160","26-5-08",3,26,"Sick",2,"Sick","HS","intertidal","26-5/8"
"162","28-5-08",3,28,"Sick",1,"Sick","HS","intertidal","28-5/8"
"166","29-5-08",3,29,"Sick",2,"Sick","HS","intertidal","29-5/8"
"169","36-6-12",3,36,"Sick",1,"Sick","HS","subtidal","36-6/12"
"176","01-5-08",3,1,"Sick",3,"Sick","SS","intertidal","1-5/8"
