"","x"
"1","01-5-11"
"2","02-5-20"
"3","04-5-20"
"4","09-5-20"
"5","19-5-20"
"6","21-5-20"
"7","23-5-20"
"8","38-6-24"
"9","03-5-05"
"10","07-5-05"
"11","08-5-05"
"12","09-5-05"
"13","09-5-11"
"14","10-5-05"
"15","10-5-11"
"16","10-5-14"
"17","10-5-17"
"18","10-5-20"
"19","14-5-05"
"20","15-5-05"
"21","15-5-11"
"22","15-5-14"
"23","16-5-05"
"24","18-5-05"
"25","19-5-05"
"26","19-5-14"
"27","19-5-17"
"28","20-5-05"
"29","20-5-11"
"30","20-5-14"
"31","20-5-17"
"32","21-5-05"
"33","22-5-05"
"34","24-5-05"
"35","24-5-11"
"36","24-5-14"
"37","24-5-17"
"38","24-5-20"
"39","26-5-05"
"40","27-5-05"
"41","27-5-11"
"42","27-5-14"
"43","27-5-17"
"44","27-5-20"
"45","28-5-05"
"46","29-5-05"
"47","31-6-09"
"48","31-6-15"
"49","31-6-18"
"50","31-6-21"
"51","31-6-24"
"52","32-6-09"
"53","32-6-15"
"54","32-6-18"
"55","32-6-21"
"56","32-6-24"
"57","33-6-09"
"58","33-6-15"
"59","33-6-18"
"60","33-6-21"
"61","33-6-24"
"62","34-6-09"
"63","34-6-15"
"64","34-6-18"
"65","34-6-21"
"66","34-6-24"
"67","35-6-09"
"68","35-6-15"
"69","35-6-18"
"70","35-6-21"
"71","35-6-24"
"72","36-6-09"
"73","37-6-09"
"74","37-6-18"
"75","38-6-09"
"76","38-6-21"
"77","01-5-05"
"78","02-5-05"
"79","02-5-11"
"80","02-5-14"
"81","02-5-17"
"82","03-5-11"
"83","04-5-05"
"84","04-5-11"
"85","04-5-14"
"86","04-5-17"
"87","05-5-05"
"88","05-5-11"
"89","06-5-05"
"90","06-5-11"
"91","06-5-14"
"92","07-5-11"
"93","08-5-11"
"94","08-5-14"
"95","08-5-17"
"96","08-5-20"
"97","09-5-14"
"98","09-5-17"
"99","11-5-05"
"100","11-5-11"
"101","11-5-14"
"102","12-5-05"
"103","13-5-05"
"104","13-5-11"
"105","13-5-14"
"106","14-5-11"
"107","15-5-17"
"108","15-5-20"
"109","16-5-11"
"110","16-5-14"
"111","17-5-05"
"112","17-5-11"
"113","17-5-14"
"114","17-5-17"
"115","18-5-11"
"116","18-5-14"
"117","20-5-20"
"118","21-5-11"
"119","21-5-14"
"120","21-5-17"
"121","22-5-11"
"122","22-5-14"
"123","23-5-05"
"124","23-5-11"
"125","23-5-14"
"126","23-5-17"
"127","25-5-05"
"128","26-5-11"
"129","28-5-11"
"130","28-5-14"
"131","28-5-17"
"132","29-5-11"
"133","29-5-14"
"134","36-6-15"
"135","36-6-18"
"136","37-6-15"
"137","37-6-21"
"138","38-6-15"
"139","38-6-18"
